Date,Open,High,Low,Close,Volume
06/26/2024,"4,390","4,430","4,350","4,370","150,303,391"
06/25/2024,"4,320","4,400","4,280","4,380","383,572,469"
06/24/2024,"4,440","4,510","4,400","4,400","303,830,781"
06/21/2024,"4,280","4,490","4,260","4,440","542,704,312"
06/20/2024,"4,130","4,270","4,130","4,270","387,133,406"
06/19/2024,"4,100","4,240","4,090","4,100","410,338,406"
06/14/2024,"4,300","4,320","4,170","4,180","358,893,188"
06/13/2024,"4,400","4,420","4,300","4,310","238,349,594"
06/12/2024,"4,340","4,360","4,310","4,350","187,332,500"
06/11/2024,"4,380","4,440","4,340","4,340","197,854,406"
06/10/2024,"4,350","4,430","4,320","4,400","181,387,016"
06/07/2024,"4,490","4,500","4,350","4,350","375,439,625"
06/06/2024,"4,450","4,500","4,390","4,500","281,534,219"
06/05/2024,"4,500","4,500","4,400","4,400","246,362,500"
06/04/2024,"4,560","4,590","4,450","4,450","332,902,219"
06/03/2024,"4,430","4,560","4,400","4,530","345,770,094"
05/31/2024,"4,430","4,470","4,330","4,340","655,144,062"
05/30/2024,"4,400","4,480","4,310","4,380","502,927,812"
05/29/2024,"4,480","4,500","4,400","4,410","465,008,469"
05/28/2024,"4,580","4,630","4,520","4,530","258,070,203"
05/27/2024,"4,700","4,720","4,550","4,550","363,719,281"
05/22/2024,"4,650","4,770","4,650","4,720","215,066,000"
05/21/2024,"4,810","4,870","4,680","4,680","272,599,406"
05/20/2024,"4,990","5,050","4,820","4,820","335,150,688"
05/17/2024,"4,840","4,960","4,820","4,920","208,991,812"
05/16/2024,"4,930","4,960","4,840","4,840","371,295,000"
05/15/2024,"4,780","4,870","4,760","4,820","298,990,312"
05/14/2024,"4,720","4,810","4,700","4,730","341,458,875"
05/13/2024,"4,650","4,700","4,630","4,680","320,067,094"
05/08/2024,"4,650","4,740","4,570","4,680","572,275,750"
05/07/2024,"4,770","4,780","4,670","4,670","304,013,594"
05/06/2024,"4,800","4,840","4,730","4,790","262,707,406"
05/03/2024,"4,760","4,830","4,710","4,750","322,179,094"
05/02/2024,"4,910","4,920","4,700","4,760","636,922,125"
04/30/2024,"4,850","5,050","4,820","4,940","565,609,188"
04/29/2024,"4,700","4,890","4,680","4,770","700,644,812"
04/26/2024,"5,050","5,100","4,830","4,830","782,589,938"
04/25/2024,"5,125","5,200","5,050","5,150","479,170,875"
04/24/2024,"5,250","5,350","5,150","5,225","471,241,406"
04/23/2024,"5,350","5,400","5,225","5,300","283,676,406"
04/22/2024,"5,200","5,325","5,150","5,300","342,282,812"
04/19/2024,"5,350","5,375","5,250","5,275","258,211,500"
04/18/2024,"5,300","5,500","5,300","5,475","247,410,703"
04/17/2024,"5,475","5,500","5,300","5,300","244,002,000"
04/16/2024,"5,375","5,575","5,350","5,350","600,717,500"
04/05/2024,"5,625","5,700","5,625","5,650","178,817,797"
04/04/2024,"5,650","5,750","5,650","5,700","133,406,594"
04/03/2024,"5,575","5,675","5,525","5,625","333,518,688"
04/02/2024,"5,850","5,950","5,625","5,675","412,180,875"
04/01/2024,"6,000","6,025","5,825","5,925","217,207,812"
03/28/2024,"6,100","6,200","6,025","6,050","288,926,906"
03/27/2024,"6,300","6,325","6,225","6,250","73,308,898"
03/26/2024,"6,200","6,300","6,200","6,300","120,748,398"
03/25/2024,"6,150","6,250","6,125","6,250","115,729,602"
03/22/2024,"6,050","6,125","6,050","6,125","74,936,492"
03/21/2024,"6,175","6,200","6,100","6,100","136,020,000"
03/20/2024,"6,000","6,100","6,000","6,100","120,885,398"
03/19/2024,"6,000","6,050","5,975","6,000","114,338,602"
03/18/2024,"6,000","6,100","5,975","6,000","110,564,703"
03/15/2024,"6,000","6,075","5,950","5,975","305,995,812"
03/14/2024,"6,175","6,200","6,050","6,150","271,254,031"
03/13/2024,"6,350","6,450","6,350","6,400","195,173,109"
03/08/2024,"6,275","6,400","6,250","6,350","163,060,000"
03/07/2024,"6,200","6,275","6,200","6,225","117,724,703"
03/06/2024,"6,100","6,200","6,100","6,200","84,108,797"
03/05/2024,"6,100","6,175","6,075","6,125","115,084,602"
03/04/2024,"6,125","6,125","6,050","6,050","70,354,898"
03/01/2024,"6,175","6,175","6,075","6,125","76,286,398"
02/29/2024,"6,150","6,200","6,125","6,125","173,845,797"
02/28/2024,"6,100","6,225","6,100","6,225","118,745,297"
